fecha_compra,indice_compra,precio_compra,cantidad_BTC_comprado,fecha_venta,indice_venta,precio_venta,cantidad_BTC_vendido,valor_portafolio_en_venta
2024-08-23,14,60375.83,0.1656291930065392,2024-08-29,20,59034.9,0.1656291930065392,9777.902846221741
2024-09-13,35,58132.31,0.16820083093587268,2024-09-14,36,60497.99,0.16820083093587268,10175.812187950116
2024-09-15,37,59993.02,0.1696166018638521,2024-10-03,55,60649.27,0.1696166018638521,10287.12308292327
2024-10-13,65,63206.23,0.16275489113847275,2024-12-03,116,95840.61,0.16275489113847275,15598.528047194823
2024-12-06,119,96945.63,0.16089975429727799,2024-12-12,125,101125.0,0.16089975429727799,16270.987653312237
2024-12-13,126,100004.29,0.16270289657885914,2024-12-20,133,97461.86,0.16270289657885914,15857.326927963248
2025-01-04,148,98174.17,0.16152239359867518,2025-01-06,150,98363.61,0.16152239359867518,15887.925730206582
2025-01-07,151,102235.6,0.1554050226164524,2025-01-11,155,94726.1,0.1554050226164524,14720.911712868332
2025-01-17,161,99987.3,0.1472278150611961,2025-01-18,162,104077.47,0.1472278150611961,15323.098505197184
2025-01-19,163,104556.23,0.14655366308824624,2025-01-29,173,101335.52,0.14655366308824624,14851.09165695224
2025-01-31,175,104722.94,0.14181316583503328,2025-02-02,177,100635.66,0.14181316583503328,14271.461540498027
2025-02-17,192,96118.12,0.14847836745556434,2025-02-18,193,95780.01,0.14847836745556434,14221.259519677626
2025-02-22,197,96181.99,0.14785782161169284,2025-02-23,198,96551.01,0.14785782161169284,14275.82201300877
2025-03-10,213,80734.48,0.1768243507979338,2025-03-11,214,78595.86,0.1768243507979338,13897.661919905293
2025-03-21,224,84223.38,0.1650095486538927,2025-03-23,226,83840.59,0.1650095486538927,13834.49791477607
2025-03-25,228,87498.16,0.1581118724642446,2025-03-30,233,82648.53,0.1581118724642446,13067.713834717293
2025-04-03,237,82516.28,0.15836528058120522,2025-04-04,238,83213.09,0.15836528058120522,13178.064345879082
2025-04-11,245,79607.3,0.165538390899818,2025-04-12,246,83423.83,0.165538390899818,13809.846580899964
2025-04-14,248,83760.0,0.16487400406996136,2025-05-30,294,105589.75,0.16487400406996136,17409.0048712462
